Countries or Regions,Currency Code,Billing Plan,Price,Year 1 Proceeds,Year 2 Proceeds
Pakistan,PKR,Upfront,12900.0,10965.0,10965.0
Palau,USD,Upfront,49.99,42.49,42.49
Panama,USD,Upfront,49.99,42.49,42.49
Papua New Guinea,USD,Upfront,49.99,42.49,42.49
Paraguay,USD,Upfront,49.99,42.49,42.49
Peru,PEN,Upfront,229.9,165.61,165.61
Philippines,PHP,Upfront,2990.0,2269.2,2269.2
Poland,PLN,Upfront,229.99,158.94,158.94
Portugal,EUR,Upfront,59.99,41.46,41.46
Qatar,QAR,Upfront,199.99,169.99,169.99
Romania,RON,Upfront,299.99,210.74,210.74
Russia,RUB,Upfront,4490.0,3128.28,3128.28
Rwanda,USD,Upfront,49.99,42.49,42.49
São Tomé and Príncipe,USD,Upfront,49.99,42.49,42.49
Saudi Arabia,SAR,Upfront,199.99,147.82,147.82
Senegal,USD,Upfront,59.99,43.21,43.21
Serbia,EUR,Upfront,59.99,42.49,42.49
Seychelles,USD,Upfront,49.99,42.49,42.49
Sierra Leone,USD,Upfront,49.99,42.49,42.49
Singapore,SGD,Upfront,69.98,54.57,54.57
Slovakia,EUR,Upfront,59.99,41.46,41.46
Slovenia,EUR,Upfront,59.99,41.8,41.8
Solomon Islands,USD,Upfront,49.99,42.49,42.49
South Africa,ZAR,Upfront,999.99,739.12,739.12
Spain,EUR,Upfront,59.99,42.05,42.05
Sri Lanka,USD,Upfront,49.99,42.49,42.49
St. Kitts and Nevis,USD,Upfront,49.99,42.49,42.49
St. Lucia,USD,Upfront,49.99,42.49,42.49
St. Vincent and the Grenadines,USD,Upfront,49.99,42.49,42.49
Suriname,USD,Upfront,49.99,38.63,38.63
Sweden,SEK,Upfront,599.0,407.32,407.32
Switzerland,CHF,Upfront,40.0,31.45,31.45
Taiwan,TWD,Upfront,1490,1170,1170
Tajikistan,USD,Upfront,49.99,37.27,37.27
Tanzania,TZS,Upfront,149900.0,105819.24,105819.24
Thailand,THB,Upfront,1990.0,1580.84,1580.84
Tonga,USD,Upfront,49.99,42.49,42.49
Trinidad and Tobago,USD,Upfront,49.99,42.49,42.49
Tunisia,USD,Upfront,49.99,42.49,42.49
Türkiye,TRY,Upfront,2499.99,1682.28,1682.28
Turkmenistan,USD,Upfront,49.99,42.49,42.49
Turks and Caicos Islands,USD,Upfront,49.99,42.49,42.49
Uganda,USD,Upfront,59.99,41.05,41.05
Ukraine,USD,Upfront,59.99,42.49,42.49
United Arab Emirates,AED,Upfront,199.99,161.9,161.9
United Kingdom,GBP,Upfront,49.99,35.3,35.3
United States,USD,Upfront,49.99,42.49,42.49
Uruguay,USD,Upfront,49.99,41.8,41.8
Uzbekistan,USD,Upfront,49.99,37.94,37.94
Vanuatu,USD,Upfront,49.99,42.49,42.49
Venezuela,USD,Upfront,49.99,42.49,42.49
Vietnam,VND,Upfront,1499000,1146735,1146735
Yemen,USD,Upfront,49.99,42.49,42.49
Zambia,USD,Upfront,59.99,43.96,43.96
Zimbabwe,USD,Upfront,59.99,41.94,41.94
